"","env","meristem","asv_name","s.env","s.meristem","index","stat","p.value","prev.env","prev.meristem","sp.env","sp.meristem","Domain","Phylum","Class","Order","Family","Genus","Species"
"607",0.0585385758282939,0.0518947203567982,"ASV4143",1,0,1,0.941461424171706,1,0.469466785820673,0.530533214179327,0.0072992700729927,0.0050761421319797,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter",NA
"608",0.120824418666035,0,"ASV4146",1,0,1,0.879175581333965,0.169,1,0,0.0145985401459854,0,"Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Bythopirellula",NA
"609",0.226041789302219,0,"ASV4163",1,0,1,0.773958210697781,0.004,1,0,0.0510948905109489,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","MAT-CR-H4-C10","MAT-CR-H4-C10",NA
"610",0.210988878477789,0.0255649149242324,"ASV4164",1,0,1,0.789011121522211,0.014,0.871247719608602,0.128752280391398,0.0510948905109489,0.0050761421319797,"Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellulaceae",NA
"611",0.179169713617526,0.05206489637712,"ASV4178",1,0,1,0.820830286382474,0.067,0.732990786676116,0.267009213323884,0.0437956204379562,0.0101522842639594,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Bernardetiaceae","Garritya",NA
"612",0.147979087100097,0,"ASV4184",1,0,1,0.852020912899903,0.068,1,0,0.0218978102189781,0,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Robertkochia",NA
"613",NA,NA,"ASV4211",NA,NA,NA,NA,NA,NA,NA,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella",NA
"614",0.147979087100097,0,"ASV4215",1,0,1,0.852020912899903,0.062,1,0,0.0218978102189781,0,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Rs-M59_termite_group","Rs-M59_termite_group",NA
"615",0.120824418666035,0,"ASV4218",1,0,1,0.879175581333965,0.17,1,0,0.0145985401459854,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"616",NA,NA,"ASV4234",NA,NA,NA,NA,NA,NA,NA,0,0,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","Cryptosporangiaceae","Fodinicola",NA
"617",0,0.123403510468459,"ASV4247",0,1,2,0.123403510468459,0.291,0,1,0,0.0152284263959391,"Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","Parvibaculaceae","Mf105b01",NA
"618",NA,NA,"ASV4257",NA,NA,NA,NA,NA,NA,NA,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas",NA
"619",NA,NA,"ASV4260",NA,NA,NA,NA,NA,NA,NA,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","Methyloceanibacter",NA
"620",0.113207813121222,0.0248960668829425,"ASV4274",1,0,1,0.886792186878778,0.384,0.877896613190731,0.122103386809269,0.0145985401459854,0.0050761421319797,"Bacteria","Proteobacteria","Gammaproteobacteria","Beggiatoales","Beggiatoaceae","Thioflexothrix",NA
"621",0.14451479136363,0.0153261267678018,"ASV4276",1,0,1,0.85548520863637,0.071,0.953726638144562,0.046273361855438,0.0218978102189781,0.0050761421319797,"Bacteria","Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales","Hydrogenedensaceae","Hydrogenedensaceae",NA
"622",0.120824418666035,0,"ASV4277",1,0,1,0.879175581333965,0.178,1,0,0.0145985401459854,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Sedimenticolaceae","Sedimenticola",NA
"623",NA,NA,"ASV4280",NA,NA,NA,NA,NA,NA,NA,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonaceae","Crenothrix",NA
"624",NA,NA,"ASV4283",NA,NA,NA,NA,NA,NA,NA,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","AAP99",NA
